,Column,year,id,artist and album name,release format,label,genre,subgenre,want,have
6,2,2015,30575161,Anka Gnoth - Silence You,CD,Not On Label,"Pop, Folk, World, & Country","Indie Pop, Alt-Pop",0,2
7,3,2015,31808600,Olivia And The Creepy Crawlies - Tongue Tied,CD,"Not On Label, EarResponsible Productions, Indie Pool","Pop, Folk, World, & Country","Alt-Pop, Indie Pop",0,0
8,3,2015,31808600,Olivia And The Creepy Crawlies - Tongue Tied,EP,"Not On Label, EarResponsible Productions, Indie Pool","Pop, Folk, World, & Country","Alt-Pop, Indie Pop",0,0
11,5,2015,31997861,Dani Marco - Tú Acababas De Venir De Un Viaje En El Tiempo,CD,Not On Label,Pop,"Alt-Pop, Indie Pop",0,0
12,5,2015,31997861,Dani Marco - Tú Acababas De Venir De Un Viaje En El Tiempo,Mini-Album,Not On Label,Pop,"Alt-Pop, Indie Pop",0,0
13,6,2015,35800618,Lana Del Rey - Unreleased,CD,"Not On Label (Lana Del Rey), Not On Label (Lana Del Rey), Not On Label (Lana Del Rey)",Pop,"Alt-Pop, Indie Pop",0,2
14,6,2015,35800618,Lana Del Rey - Unreleased,Album,"Not On Label (Lana Del Rey), Not On Label (Lana Del Rey), Not On Label (Lana Del Rey)",Pop,"Alt-Pop, Indie Pop",0,2
15,6,2015,35800618,Lana Del Rey - Unreleased,Numbered,"Not On Label (Lana Del Rey), Not On Label (Lana Del Rey), Not On Label (Lana Del Rey)",Pop,"Alt-Pop, Indie Pop",0,2
16,6,2015,35800618,Lana Del Rey - Unreleased,Unofficial Release,"Not On Label (Lana Del Rey), Not On Label (Lana Del Rey), Not On Label (Lana Del Rey)",Pop,"Alt-Pop, Indie Pop",0,2
20,9,2015,29316661,The Crash Narrative - Apocaloptimystic,CD,"Not On Label, Procopy","Electronic, Pop",Alt-Pop,0,1
21,10,2015,26900405,Colour Me Blind - Colour Me Blind,CD,"Not On Label (Colour Me Blind Self-released), Hype Studio, Wouter Cools, Hype Studio, Hype Studio, CC Zwanenberg, GMTM","Jazz, Pop",Alt-Pop,0,1
23,12,2015,35635006,Teneia Sanders - No Fakes,CD,Not On Label,Pop,Alt-Pop,0,0
24,12,2015,35635006,Teneia Sanders - No Fakes,CD-ROM,Not On Label,Pop,Alt-Pop,0,0
25,12,2015,35635006,Teneia Sanders - No Fakes,Album,Not On Label,Pop,Alt-Pop,0,0
42,20,2015,29940475,Jay Scott & The Find - Jay Scott & the Find Sampler,CD,Not On Label,Pop,Alt-Pop,0,0
43,20,2015,29940475,Jay Scott & The Find - Jay Scott & the Find Sampler,EP,Not On Label,Pop,Alt-Pop,0,0
44,21,2015,32585601,Los Reyna - Suave,CD,Not On Label,"Rock, Pop",Alt-Pop,0,1
45,21,2015,32585601,Los Reyna - Suave,Stereo,Not On Label,"Rock, Pop",Alt-Pop,0,1
46,22,2015,28861885,Walden (16) - Green Lights,CD,Not On Label (Walden (16) Self-released),"Electronic, Rock, Pop",Alt-Pop,0,1
47,22,2015,28861885,Walden (16) - Green Lights,EP,Not On Label (Walden (16) Self-released),"Electronic, Rock, Pop",Alt-Pop,0,1
50,24,2015,33624798,Marion Harper (2) - Cotton Candy,CD,Not On Label,Pop,Alt-Pop,0,1
51,24,2015,33624798,Marion Harper (2) - Cotton Candy,Album,Not On Label,Pop,Alt-Pop,0,1
52,25,2015,22031464,Family Fold - Lustre-glo,CD,Not On Label,Pop,Alt-Pop,0,3
53,25,2015,22031464,Family Fold - Lustre-glo,Album,Not On Label,Pop,Alt-Pop,0,3
118,48,2015,29774128,Coastland Commons - Volume 1: Emmaus,CD,Not On Label,"Pop, Folk, World, & Country","Alt-Pop, Gospel",0,1
