Column,Column2,year,id,artist and album name,label,release format,genre,subgenre,want,have
6,2,2015,30575161,Anka Gnoth - Silence You,Not on Label,CD,"Pop, Folk, World, & Country","Indie Pop, Alt-Pop",0,2
7,3,2015,31808600,Olivia And The Creepy Crawlies - Tongue Tied,Not on Label,CD,"Pop, Folk, World, & Country","Alt-Pop, Indie Pop",0,0
8,3,2015,31808600,Olivia And The Creepy Crawlies - Tongue Tied,Not on Label,EP,"Pop, Folk, World, & Country","Alt-Pop, Indie Pop",0,0
11,5,2015,31997861,Dani Marco - Tú Acababas De Venir De Un Viaje En El Tiempo,Not on Label,CD,Pop,"Alt-Pop, Indie Pop",0,0
12,5,2015,31997861,Dani Marco - Tú Acababas De Venir De Un Viaje En El Tiempo,Not on Label,Mini-Album,Pop,"Alt-Pop, Indie Pop",0,0
13,6,2015,35800618,Lana Del Rey - Unreleased,Not on Label,CD,Pop,"Alt-Pop, Indie Pop",0,2
14,6,2015,35800618,Lana Del Rey - Unreleased,Not on Label,Album,Pop,"Alt-Pop, Indie Pop",0,2
15,6,2015,35800618,Lana Del Rey - Unreleased,Not on Label,Numbered,Pop,"Alt-Pop, Indie Pop",0,2
16,6,2015,35800618,Lana Del Rey - Unreleased,Not on Label,Unofficial Release,Pop,"Alt-Pop, Indie Pop",0,2
20,9,2015,29316661,The Crash Narrative - Apocaloptimystic,Not on Label,CD,"Electronic, Pop",Alt-Pop,0,1
21,10,2015,26900405,Colour Me Blind - Colour Me Blind,Not on Label,CD,"Jazz, Pop",Alt-Pop,0,1
23,12,2015,35635006,Teneia Sanders - No Fakes,Not on Label,CD,Pop,Alt-Pop,0,0
24,12,2015,35635006,Teneia Sanders - No Fakes,Not on Label,CD-ROM,Pop,Alt-Pop,0,0
25,12,2015,35635006,Teneia Sanders - No Fakes,Not on Label,Album,Pop,Alt-Pop,0,0
42,20,2015,29940475,Jay Scott & The Find - Jay Scott & the Find Sampler,Not on Label,CD,Pop,Alt-Pop,0,0
43,20,2015,29940475,Jay Scott & The Find - Jay Scott & the Find Sampler,Not on Label,EP,Pop,Alt-Pop,0,0
44,21,2015,32585601,Los Reyna - Suave,Not on Label,CD,"Rock, Pop",Alt-Pop,0,1
45,21,2015,32585601,Los Reyna - Suave,Not on Label,Stereo,"Rock, Pop",Alt-Pop,0,1
46,22,2015,28861885,Walden (16) - Green Lights,Not on Label,CD,"Electronic, Rock, Pop",Alt-Pop,0,1
47,22,2015,28861885,Walden (16) - Green Lights,Not on Label,EP,"Electronic, Rock, Pop",Alt-Pop,0,1
50,24,2015,33624798,Marion Harper (2) - Cotton Candy,Not on Label,CD,Pop,Alt-Pop,0,1
