,year,id,artist and album name,release format,label,genre,subgenre,wants and haves
0,2024,32356194,Yot Club - Rufus,['Cassette'],['Amuseio AB'],['Pop'],"['Alt-Pop', 'Indie Pop']","{'want': 2, 'have': 7}"
1,2024,32096019,Siobhán Winifred - Don't Do Well Alone,"['Cassette', 'EP']",['Chess Club Records'],['Pop'],"['Indie Pop', 'Alt-Pop']","{'want': 0, 'have': 8}"
2,2024,33350870,Haley Blais - Wisecrack Deluxe,"['Cassette', 'Deluxe Edition']",['Arts & Crafts'],['Pop'],"['Indie Pop', 'Alt-Pop']","{'want': 2, 'have': 3}"
3,2024,30500272,Anxo Araújo - Aprender a bailar,"['Vinyl', 'LP', 'CD']",['Anxo Araújo'],['Pop'],"['Indie Pop', 'Alt-Pop']","{'want': 1, 'have': 5}"
4,2024,30404024,Melanie Martinez (2) - Portals,"['Cassette', 'Album']",['Atlantic'],['Pop'],['Alt-Pop'],"{'want': 49, 'have': 126}"
5,2024,32338638,The High Span - Jamboree bag cassette,"['Cassette', 'EP', 'Limited Edition', 'Stereo']",['Not On Label'],['Pop'],"['Indie Pop', 'Alt-Pop']","{'want': 0, 'have': 0}"
6,2024,32600694,"Filippo Cattaneo Ponzoni, Maëlys - Magneti","['Cassette', 'Album']",['Futura Dischi'],"['Electronic', 'Pop']",['Alt-Pop'],"{'want': 0, 'have': 0}"
7,2024,31396406,Hemlocke Springs - Going...Going...Gone!,"['Cassette', 'EP', 'Limited Edition', 'Stereo']",['Good Luck Have Fun Records'],['Pop'],"['Alt-Pop', 'Indie Pop']","{'want': 25, 'have': 14}"
8,2024,34660888,Peter Kolárčik - Čas Na Směnu,"['Cassette', 'Album']",['Not On Label (Peter Kolárčik Self-released)'],"['Rock', 'Pop']",['Alt-Pop'],"{'want': 1, 'have': 1}"
9,2024,31464692,beabadoobee - This Is How Tomorrow Moves,"['Cassette', 'Album']",['Dirty Hit'],['Pop'],['Alt-Pop'],"{'want': 25, 'have': 15}"
10,2024,30388526,Melanie Martinez (2) - Portals,"['Cassette', 'Album']",['Atlantic'],['Pop'],['Alt-Pop'],"{'want': 51, 'have': 154}"
11,2024,31292369,Rachel Chinouriri - What A Devastating Turn Of Events,"['Cassette', 'Album']",['Atlas Artists'],['Pop'],['Alt-Pop'],"{'want': 14, 'have': 34}"
12,2024,30387815,Melanie Martinez (2) - Portals,"['Cassette', 'Album']",['Atlantic'],['Pop'],['Alt-Pop'],"{'want': 49, 'have': 146}"
13,2024,30403886,Melanie Martinez (2) - Portals,"['Cassette', 'Album']",['Atlantic'],['Pop'],['Alt-Pop'],"{'want': 45, 'have': 131}"
14,2024,31438886,beabadoobee - This Is How Tomorrow Moves,"['Cassette', 'Album']",['Dirty Hit'],['Pop'],['Alt-Pop'],"{'want': 44, 'have': 165}"
15,2024,33025428,Alkateri - Kontemplasi,"['Cassette', 'Album', 'Stereo']",['Gedung 4 Records'],['Pop'],['Alt-Pop'],"{'want': 1, 'have': 2}"
16,2024,30933030,Angelica Garcia (2) - Gemelo,['CD'],['Partisan Records'],"['Rock', 'Latin', 'Pop']","['Alt-Pop', 'Indie Pop']","{'want': 4, 'have': 10}"
17,2024,32161059,Quinn Hills - Ignore All Previous Instructions,"['Cassette', 'Album', 'Stereo']",['Tiny Upward Rockets'],"['Electronic', 'Pop', 'Folk, World, & Country']",['Alt-Pop'],"{'want': 0, 'have': 1}"
18,2024,32350134,Medium Build - Country,"['Cassette', 'Album']","['Slowplay', 'Island Records', 'UMG Commercial Services']","['Rock', 'Pop']","['Indie Rock', 'Alt-Pop']","{'want': 1, 'have': 6}"
19,2024,33008253,Layzi (2) - In Between,"['CD', 'EP']",['Not On Label (Layzi Self-Released)'],"['Pop', 'Folk, World, & Country']","['Alt-Pop', 'Indie Pop']","{'want': 0, 'have': 3}"
20,2024,33033153,Livingston (12) - A Hometown Odyssey,"['CD', 'Album']",['Big Up Entertainment'],['Pop'],"['Indie Pop', 'Alt-Pop']","{'want': 3, 'have': 8}"
21,2024,32427189,Valeria Sturba - Le Cose Strane,"['CD', 'Album']",['La Musica diSturba'],"['Pop', 'Folk, World, & Country']","['Indie Pop', 'Alt-Pop']","{'want': 0, 'have': 4}"
22,2024,32061060,Wax-Tree-Cast - Entanglements To Affairs,"['CD', 'Album']",['Blue Raincoat Music'],['Pop'],"['Indie Pop', 'Alt-Pop']","{'want': 0, 'have': 5}"
23,2024,33401237,Livingston (12) - A Hometown Odyssey,"['CD', 'Album']","['Big Up Entertainment', 'Republic Records', 'UMG Recordings, Inc.', 'UMG Commercial Services']",['Pop'],"['Indie Pop', 'Alt-Pop']","{'want': 4, 'have': 14}"
24,2024,29952058,Annie Rew Shaw* - Dead Sea,"['CD', 'Album']",['Not On Label'],"['Electronic', 'Pop']","['Alt-Pop', 'Indie Pop']","{'want': 2, 'have': 2}"
25,2024,32887293,Settima Tacca - Demos For Nobody,"['Cassette', 'Album', 'Stereo']",['Not On Label'],['Pop'],['Alt-Pop'],"{'want': 0, 'have': 4}"
26,2024,33645867,Wally Jesting - Skyrocket To The Park,"['CD', 'Album']","['Not On Label', 'MPT-palvelut Ky', 'MPT-palvelut Ky']","['Rock', 'Pop']","['Indie Pop', 'Alt-Pop']","{'want': 0, 'have': 0}"
27,2024,32124267,Martha Hill (2) - Football Heid,"['CD', 'Album']",['Not On Label (Martha Hill Self-released)'],['Pop'],"['Alt-Pop', 'Indie Pop']","{'want': 0, 'have': 5}"
28,2024,32204121,Abbie Ozard -  Everything Still Worries Me ,"['CD', 'Album']",['House Anxiety Records'],['Pop'],"['Alt-Pop', 'Indie Pop']","{'want': 0, 'have': 3}"
29,2024,31486766,Jenobi - Irregularity,"['CD', 'Album']","['Popup-Records', 'Popup-Records']",['Pop'],"['Indie Pop', 'Alt-Pop']","{'want': 0, 'have': 2}"
